#name=mucoromycota_odb10
#domain=eukaryota
#creation_date=2020-08-05
#number_of_BUSCOs=1614
#number_of_species=21
#max_intron=60000
#max_seq_len=70000
#Model_ID	Description	Link
16092at1913637	cop9 signalosome complex subunit 6-like	https://www.orthodb.org/v10?query=16092at1913637
3763at1913637	Signal recognition particle subunit SRP68	https://www.orthodb.org/v10?query=3763at1913637
15005at1913637	DUF382-domain-containing protein	https://www.orthodb.org/v10?query=15005at1913637
14432at1913637	Ribokinase-like protein	https://www.orthodb.org/v10?query=14432at1913637
4524at1913637	armadillo-type protein	https://www.orthodb.org/v10?query=4524at1913637
20906at1913637	Pseudouridine synthase	https://www.orthodb.org/v10?query=20906at1913637
8572at1913637	Apoptosis antagonizing transcription factor-domain-containing protein	https://www.orthodb.org/v10?query=8572at1913637
7387at1913637	phosphatidylserine decarboxylase	https://www.orthodb.org/v10?query=7387at1913637
7546at1913637	cleft lip and palate transmembrane 1	https://www.orthodb.org/v10?query=7546at1913637
20883at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=20883at1913637
12978at1913637	Ubiquitin-conjugating enzyme E2-binding protein	https://www.orthodb.org/v10?query=12978at1913637
18651at1913637	Ribosome biogenesis regulatory protein	https://www.orthodb.org/v10?query=18651at1913637
24391at1913637	Actin-related protein 2/3 complex subunit 5	https://www.orthodb.org/v10?query=24391at1913637
6813at1913637	spindle pole body interacting protein	https://www.orthodb.org/v10?query=6813at1913637
12147at1913637	cop9 signalosome complex subunit 1	https://www.orthodb.org/v10?query=12147at1913637
4953at1913637	vacuolar protein 14 C-terminal Fig4p binding-domain-containing protein	https://www.orthodb.org/v10?query=4953at1913637
9630at1913637	Argininosuccinate synthase	https://www.orthodb.org/v10?query=9630at1913637
7786at1913637	homoserine O-acetyltransferase	https://www.orthodb.org/v10?query=7786at1913637
13699at1913637	Polynucleotide kinase 3 phosphatase-domain-containing protein	https://www.orthodb.org/v10?query=13699at1913637
27445at1913637	mediator complex, subunit Med7	https://www.orthodb.org/v10?query=27445at1913637
11217at1913637	Cwf19-like, C-terminal domain-1	https://www.orthodb.org/v10?query=11217at1913637
2310at1913637	HECT domain	https://www.orthodb.org/v10?query=2310at1913637
14631at1913637	pyridoxal phosphate-dependent transferase	https://www.orthodb.org/v10?query=14631at1913637
14044at1913637	Abi-domain-containing protein	https://www.orthodb.org/v10?query=14044at1913637
20886at1913637	ATP-dependent Clp protease proteolytic subunit	https://www.orthodb.org/v10?query=20886at1913637
14857at1913637	anticodon-binding protein	https://www.orthodb.org/v10?query=14857at1913637
14959at1913637	A0A2I1G1B0_9GLOM	https://www.orthodb.org/v10?query=14959at1913637
205at1913637	cell morphogenesis N-terminal-domain-containing protein	https://www.orthodb.org/v10?query=205at1913637
8549at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=8549at1913637
22592at1913637	Replication termination factor 2	https://www.orthodb.org/v10?query=22592at1913637
16262at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=16262at1913637
185at1913637	Proteasome stabiliser-domain-containing protein	https://www.orthodb.org/v10?query=185at1913637
1101at1913637	FANCI solenoid 2 domain	https://www.orthodb.org/v10?query=1101at1913637
13264at1913637	Cytoplasmic tRNA 2-thiolation protein 2	https://www.orthodb.org/v10?query=13264at1913637
17978at1913637	alpha subunit of riboflavin synthase	https://www.orthodb.org/v10?query=17978at1913637
10380at1913637	Zinc finger C2H2-type	https://www.orthodb.org/v10?query=10380at1913637
20455at1913637	DUF667-domain-containing protein	https://www.orthodb.org/v10?query=20455at1913637
11255at1913637	Protein DOM34 homolog	https://www.orthodb.org/v10?query=11255at1913637
13437at1913637	Pantoate-beta-alanine ligase	https://www.orthodb.org/v10?query=13437at1913637
1188at1913637	AP-2 complex subunit alpha	https://www.orthodb.org/v10?query=1188at1913637
12004at1913637	Ubiquitin carboxyl-terminal hydrolase	https://www.orthodb.org/v10?query=12004at1913637
5893at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=5893at1913637
10136at1913637	Threonylcarbamoyl-AMP synthase	https://www.orthodb.org/v10?query=10136at1913637
7361at1913637	DNA polymerase alpha/epsilon, subunit B	https://www.orthodb.org/v10?query=7361at1913637
1645at1913637	Vacuolar membrane protein	https://www.orthodb.org/v10?query=1645at1913637
4582at1913637	Phosphoribosylaminoimidazole carboxylase	https://www.orthodb.org/v10?query=4582at1913637
11291at1913637	Splicing factor 3a subunit 3	https://www.orthodb.org/v10?query=11291at1913637
9643at1913637	Peptidyl-prolyl cis-trans isomerase-like 2	https://www.orthodb.org/v10?query=9643at1913637
840at1913637	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=840at1913637
17431at1913637	Elongation factor Ts, mitochondrial	https://www.orthodb.org/v10?query=17431at1913637
16102at1913637	Peptide chain release factor 1	https://www.orthodb.org/v10?query=16102at1913637
8320at1913637	Cysteine desulfurase	https://www.orthodb.org/v10?query=8320at1913637
13578at1913637	UAA transporter	https://www.orthodb.org/v10?query=13578at1913637
28122at1913637	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex 6	https://www.orthodb.org/v10?query=28122at1913637
10013at1913637	Cysteine proteinase	https://www.orthodb.org/v10?query=10013at1913637
23855at1913637	Acyl-CoA N-acyltransferase	https://www.orthodb.org/v10?query=23855at1913637
10800at1913637	Transmembrane protein 135	https://www.orthodb.org/v10?query=10800at1913637
6807at1913637	NEDD8-activating enzyme E1 regulatory subunit	https://www.orthodb.org/v10?query=6807at1913637
13242at1913637	Origin recognition complex subunit 2	https://www.orthodb.org/v10?query=13242at1913637
21569at1913637	Ribosomal protein S5 domain 2-like protein	https://www.orthodb.org/v10?query=21569at1913637
3961at1913637	RNA helicase	https://www.orthodb.org/v10?query=3961at1913637
8839at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=8839at1913637
26037at1913637	Decaprenyl diphosphate synthase-like protein	https://www.orthodb.org/v10?query=26037at1913637
5795at1913637	Sec1-like protein	https://www.orthodb.org/v10?query=5795at1913637
21980at1913637	DNA-binding protein	https://www.orthodb.org/v10?query=21980at1913637
18592at1913637	Autophagy-related protein 3	https://www.orthodb.org/v10?query=18592at1913637
1826at1913637	GPI ethanolamine phosphate transferase 1	https://www.orthodb.org/v10?query=1826at1913637
16156at1913637	F-actin capping protein, alpha subunit	https://www.orthodb.org/v10?query=16156at1913637
19372at1913637	MOB kinase activator family	https://www.orthodb.org/v10?query=19372at1913637
20375at1913637	N-acetyltransferase 9	https://www.orthodb.org/v10?query=20375at1913637
1289at1913637	Glutathione transferase omega-1	https://www.orthodb.org/v10?query=1289at1913637
21182at1913637	Proteasome subunit beta type	https://www.orthodb.org/v10?query=21182at1913637
11238at1913637	Saccharopine dehydrogenase	https://www.orthodb.org/v10?query=11238at1913637
24867at1913637	tRNA-splicing endonuclease, subunit Sen54	https://www.orthodb.org/v10?query=24867at1913637
4092at1913637	AP complex subunit beta	https://www.orthodb.org/v10?query=4092at1913637
24541at1913637	SNF7 family protein	https://www.orthodb.org/v10?query=24541at1913637
4295at1913637	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I	https://www.orthodb.org/v10?query=4295at1913637
5360at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=5360at1913637
10520at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=10520at1913637
6902at1913637	Spindle pole body component	https://www.orthodb.org/v10?query=6902at1913637
23067at1913637	Fcf2 pre-rRNA processing	https://www.orthodb.org/v10?query=23067at1913637
23065at1913637	RNA polymerase Rpb7	https://www.orthodb.org/v10?query=23065at1913637
28081at1913637	Zf-DNL-domain-containing protein	https://www.orthodb.org/v10?query=28081at1913637
18322at1913637	Alpha-L RNA-binding motif-containing protein	https://www.orthodb.org/v10?query=18322at1913637
9811at1913637	Tryptophan synthase beta subunit-like PLP-dependent enzyme	https://www.orthodb.org/v10?query=9811at1913637
19141at1913637	Mediator of RNA polymerase II transcription subunit 18	https://www.orthodb.org/v10?query=19141at1913637
29517at1913637	HRDC-like protein	https://www.orthodb.org/v10?query=29517at1913637
12889at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=12889at1913637
8463at1913637	Actin-related protein 8	https://www.orthodb.org/v10?query=8463at1913637
9657at1913637	Eukaryotic translation initiation factor 3 subunit M	https://www.orthodb.org/v10?query=9657at1913637
26393at1913637	Meiotically up-regulated gene 113-domain-containing protein	https://www.orthodb.org/v10?query=26393at1913637
8941at1913637	Tryptophanyl-tRNA synthetase	https://www.orthodb.org/v10?query=8941at1913637
15142at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=15142at1913637
1323at1913637	RIC1-domain-containing protein	https://www.orthodb.org/v10?query=1323at1913637
10938at1913637	Aspartate-semialdehyde dehydrogenase	https://www.orthodb.org/v10?query=10938at1913637
25415at1913637	cytochrome oxidase complex assembly protein 1-domain-containing protein	https://www.orthodb.org/v10?query=25415at1913637
20969at1913637	Atypical dual-specificity phosphatase Siw14-like	https://www.orthodb.org/v10?query=20969at1913637
7038at1913637	S2J7R3_MUCC1	https://www.orthodb.org/v10?query=7038at1913637
10672at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=10672at1913637
12477at1913637	Signal recognition particle subunit SRP72	https://www.orthodb.org/v10?query=12477at1913637
15031at1913637	Zinc finger, RING/FYVE/PHD-type	https://www.orthodb.org/v10?query=15031at1913637
7136at1913637	CDC45-like protein	https://www.orthodb.org/v10?query=7136at1913637
6512at1913637	Para-aminobenzoate synthase	https://www.orthodb.org/v10?query=6512at1913637
7878at1913637	Peptide-n-(N-acetyl-beta-glucosaminyl)asparagine amidase-like	https://www.orthodb.org/v10?query=7878at1913637
11232at1913637	Pyridoxal phosphate-dependent transferase	https://www.orthodb.org/v10?query=11232at1913637
17878at1913637	alpha/beta-hydrolase	https://www.orthodb.org/v10?query=17878at1913637
19776at1913637	ribonuclease P 40kDa subunit-domain-containing protein	https://www.orthodb.org/v10?query=19776at1913637
14466at1913637	nucleotide-diphospho-sugar transferase	https://www.orthodb.org/v10?query=14466at1913637
6628at1913637	initiator tRNA phosphoribosyl transferase	https://www.orthodb.org/v10?query=6628at1913637
12243at1913637	TFIIH basal transcription factor complex, subunit SSL1	https://www.orthodb.org/v10?query=12243at1913637
16854at1913637	MINDY deubiquitinase	https://www.orthodb.org/v10?query=16854at1913637
9186at1913637	RuvB-like helicase	https://www.orthodb.org/v10?query=9186at1913637
14377at1913637	Dynactin p62 family-domain-containing protein	https://www.orthodb.org/v10?query=14377at1913637
10519at1913637	cytidine deaminase-like protein	https://www.orthodb.org/v10?query=10519at1913637
1650at1913637	Sulfite reductase (NADPH) flavoprotein alpha-component	https://www.orthodb.org/v10?query=1650at1913637
15941at1913637	Nop domain-containing protein	https://www.orthodb.org/v10?query=15941at1913637
11293at1913637	glycosyltransferase family 4 protein	https://www.orthodb.org/v10?query=11293at1913637
18759at1913637	Set domain protein	https://www.orthodb.org/v10?query=18759at1913637
25609at1913637	Nuclear movement protein nudC	https://www.orthodb.org/v10?query=25609at1913637
14079at1913637	protein arginine N-methyltransferase	https://www.orthodb.org/v10?query=14079at1913637
10718at1913637	tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	https://www.orthodb.org/v10?query=10718at1913637
1722at1913637	Armadillo-type protein	https://www.orthodb.org/v10?query=1722at1913637
2671at1913637	WD40-repeat-containing domain	https://www.orthodb.org/v10?query=2671at1913637
4848at1913637	Phosphoserine phosphatase serb	https://www.orthodb.org/v10?query=4848at1913637
17013at1913637	Mitochondrial carrier	https://www.orthodb.org/v10?query=17013at1913637
329at1913637	anaphase-promoting complex subunit 1-like isoform X5	https://www.orthodb.org/v10?query=329at1913637
943at1913637	Trafficking protein particle complex subunit 10	https://www.orthodb.org/v10?query=943at1913637
9817at1913637	Metalloenzyme, LuxS/M16 peptidase-like protein	https://www.orthodb.org/v10?query=9817at1913637
26707at1913637	Meiotic nuclear division protein 1	https://www.orthodb.org/v10?query=26707at1913637
19626at1913637	lysine-specific demethylase 8-like	https://www.orthodb.org/v10?query=19626at1913637
18516at1913637	Ribosomal protein L15	https://www.orthodb.org/v10?query=18516at1913637
5761at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=5761at1913637
13162at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=13162at1913637
802at1913637	mediator complex subunit 23-domain-containing protein	https://www.orthodb.org/v10?query=802at1913637
12350at1913637	DUF974-domain-containing protein	https://www.orthodb.org/v10?query=12350at1913637
824at1913637	Raptor N-terminal caspase like domain-domain-containing protein	https://www.orthodb.org/v10?query=824at1913637
21294at1913637	PIN domain-like protein	https://www.orthodb.org/v10?query=21294at1913637
27430at1913637	peptidyl-prolyl cis-trans isomerase	https://www.orthodb.org/v10?query=27430at1913637
16146at1913637	Phosphomannomutase	https://www.orthodb.org/v10?query=16146at1913637
7336at1913637	armadillo-type protein	https://www.orthodb.org/v10?query=7336at1913637
15737at1913637	Nucleotide-sugar transporter	https://www.orthodb.org/v10?query=15737at1913637
3938at1913637	Terpene cyclase/mutase family member	https://www.orthodb.org/v10?query=3938at1913637
12037at1913637	adenylyltransferase	https://www.orthodb.org/v10?query=12037at1913637
20830at1913637	ESCRT-II complex, vps25 subunit	https://www.orthodb.org/v10?query=20830at1913637
14758at1913637	ATPase GET3	https://www.orthodb.org/v10?query=14758at1913637
27862at1913637	Ubiquitin-related modifier 1	https://www.orthodb.org/v10?query=27862at1913637
11397at1913637	NADP-dependent oxidoreductase domain	https://www.orthodb.org/v10?query=11397at1913637
10511at1913637	pyridoxal phosphate-dependent transferase	https://www.orthodb.org/v10?query=10511at1913637
5126at1913637	Eukaryotic translation initiation factor 3 subunit D	https://www.orthodb.org/v10?query=5126at1913637
9926at1913637	Origin recognition complex subunit 4	https://www.orthodb.org/v10?query=9926at1913637
21559at1913637	Ribosomal protein S5 domain 2-like protein	https://www.orthodb.org/v10?query=21559at1913637
14048at1913637	Probable cytosolic iron-sulfur protein assembly protein 1	https://www.orthodb.org/v10?query=14048at1913637
9168at1913637	26S proteasome non-ATPase regulatory subunit 12	https://www.orthodb.org/v10?query=9168at1913637
16446at1913637	N2227-domain-containing protein	https://www.orthodb.org/v10?query=16446at1913637
5715at1913637	V-type ATPase	https://www.orthodb.org/v10?query=5715at1913637
2342at1913637	Ubiquitin-like modifier-activating enzyme Atg7	https://www.orthodb.org/v10?query=2342at1913637
27888at1913637	Dynein light chain roadblock	https://www.orthodb.org/v10?query=27888at1913637
19136at1913637	programmed cell death protein 2	https://www.orthodb.org/v10?query=19136at1913637
20971at1913637	PITH domain	https://www.orthodb.org/v10?query=20971at1913637
19065at1913637	Endonuclease/exonuclease/phosphatase	https://www.orthodb.org/v10?query=19065at1913637
17381at1913637	ribosomal protein S5 domain 2-type protein	https://www.orthodb.org/v10?query=17381at1913637
20777at1913637	CAP Gly-rich domain	https://www.orthodb.org/v10?query=20777at1913637
10772at1913637	DNA-binding protein	https://www.orthodb.org/v10?query=10772at1913637
12043at1913637	Zinc finger, CCHC-type	https://www.orthodb.org/v10?query=12043at1913637
4214at1913637	glycoside hydrolase family 35 protein	https://www.orthodb.org/v10?query=4214at1913637
27604at1913637	transcription elongation factor B, polypeptide 1	https://www.orthodb.org/v10?query=27604at1913637
1210at1913637	Alanine--tRNA ligase	https://www.orthodb.org/v10?query=1210at1913637
20113at1913637	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82	https://www.orthodb.org/v10?query=20113at1913637
1472at1913637	Coatomer subunit beta'	https://www.orthodb.org/v10?query=1472at1913637
5042at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=5042at1913637
10064at1913637	Metallo-hydrolase/oxidoreductase	https://www.orthodb.org/v10?query=10064at1913637
2812at1913637	exocyst complex component Sec10	https://www.orthodb.org/v10?query=2812at1913637
18689at1913637	Fibronectin type III	https://www.orthodb.org/v10?query=18689at1913637
8399at1913637	WD40-repeat-containing domain protein	https://www.orthodb.org/v10?query=8399at1913637
17038at1913637	Protein-(Glutamine-n5) release factor-specific	https://www.orthodb.org/v10?query=17038at1913637
11574at1913637	Protein arginine methyltransferase NDUFAF7	https://www.orthodb.org/v10?query=11574at1913637
26001at1913637	Transcription initiation factor IID, 31kD subunit-domain-containing protein	https://www.orthodb.org/v10?query=26001at1913637
632at1913637	Voltage-gated ca2 alpha1 subunits	https://www.orthodb.org/v10?query=632at1913637
2260at1913637	Exosome complex exonuclease RRP44	https://www.orthodb.org/v10?query=2260at1913637
9983at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=9983at1913637
22504at1913637	Prefoldin subunit 3	https://www.orthodb.org/v10?query=22504at1913637
10459at1913637	NADPH	https://www.orthodb.org/v10?query=10459at1913637
15105at1913637	RNA (C5-cytosine) methyltransferase	https://www.orthodb.org/v10?query=15105at1913637
397at1913637	Ras guanine nucleotide exchange factor domain superfamily	https://www.orthodb.org/v10?query=397at1913637
21159at1913637	Vacuolar-sorting protein SNF8	https://www.orthodb.org/v10?query=21159at1913637
23777at1913637	Ubiquitin-conjugating enzyme E2 8	https://www.orthodb.org/v10?query=23777at1913637
22662at1913637	Pyridoxal phosphate homeostasis protein	https://www.orthodb.org/v10?query=22662at1913637
30433at1913637	LSM domain containing 1	https://www.orthodb.org/v10?query=30433at1913637
738at1913637	ubiquitin carboxyl-terminal hydrolase-domain-containing protein	https://www.orthodb.org/v10?query=738at1913637
23864at1913637	E3 ubiquitin-protein ligase	https://www.orthodb.org/v10?query=23864at1913637
12386at1913637	Mannosyltransferase	https://www.orthodb.org/v10?query=12386at1913637
13032at1913637	UPF0183-domain-containing protein	https://www.orthodb.org/v10?query=13032at1913637
1758at1913637	phosphoribosylglycinamide synthetase	https://www.orthodb.org/v10?query=1758at1913637
27758at1913637	Ubiquitin domain	https://www.orthodb.org/v10?query=27758at1913637
25166at1913637	DUF1715-domain-containing protein	https://www.orthodb.org/v10?query=25166at1913637
12731at1913637	Cysteine synthase	https://www.orthodb.org/v10?query=12731at1913637
3016at1913637	ABC transporter type 1, transmembrane domain	https://www.orthodb.org/v10?query=3016at1913637
17509at1913637	Sumo-activating enzyme subunit 1 isoform 1	https://www.orthodb.org/v10?query=17509at1913637
22721at1913637	integral membrane protein DUF106-domain-containing protein	https://www.orthodb.org/v10?query=22721at1913637
8333at1913637	Phenylalanyl-tRNA synthetase	https://www.orthodb.org/v10?query=8333at1913637
6878at1913637	Mitochondrial processing peptidase beta subunit	https://www.orthodb.org/v10?query=6878at1913637
9048at1913637	prolyl-tRNA synthetase	https://www.orthodb.org/v10?query=9048at1913637
22746at1913637	Isochorismatase-like protein	https://www.orthodb.org/v10?query=22746at1913637
15025at1913637	mitochondrial carrier	https://www.orthodb.org/v10?query=15025at1913637
16009at1913637	Putative 26S proteasome regulatory particle subunit Rpn8	https://www.orthodb.org/v10?query=16009at1913637
15212at1913637	glutathione S-transferase	https://www.orthodb.org/v10?query=15212at1913637
30568at1913637	A0A2I1EC20_9GLOM	https://www.orthodb.org/v10?query=30568at1913637
2701at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=2701at1913637
3560at1913637	Endonuclease/exonuclease/phosphatase	https://www.orthodb.org/v10?query=3560at1913637
2068at1913637	Armadillo-type protein	https://www.orthodb.org/v10?query=2068at1913637
19030at1913637	Palmitoyltransferase	https://www.orthodb.org/v10?query=19030at1913637
13209at1913637	guanine-N(7)-methyltransferase	https://www.orthodb.org/v10?query=13209at1913637
11040at1913637	rab geranylgeranyltransferase alpha subunit	https://www.orthodb.org/v10?query=11040at1913637
24299at1913637	Acyl-CoA N-acyltransferase	https://www.orthodb.org/v10?query=24299at1913637
8548at1913637	Pescadillo homolog	https://www.orthodb.org/v10?query=8548at1913637
2845at1913637	negative elongation factor B-like isoform X3	https://www.orthodb.org/v10?query=2845at1913637
15071at1913637	Presenilin	https://www.orthodb.org/v10?query=15071at1913637
16621at1913637	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	https://www.orthodb.org/v10?query=16621at1913637
30206at1913637	signal recognition particle, SRP9/SRP14 subunit	https://www.orthodb.org/v10?query=30206at1913637
15264at1913637	Tubulin-tyrosine ligase	https://www.orthodb.org/v10?query=15264at1913637
8438at1913637	Arginine biosynthesis bifunctional protein ArgJ, mitochondrial	https://www.orthodb.org/v10?query=8438at1913637
5848at1913637	actin-like ATPase domain-containing protein	https://www.orthodb.org/v10?query=5848at1913637
3609at1913637	fibronectin-binding protein A N-terminus-domain-containing protein	https://www.orthodb.org/v10?query=3609at1913637
19486at1913637	26S proteasome non-atpase regulatory subunit 8	https://www.orthodb.org/v10?query=19486at1913637
1181at1913637	NUC173-domain-containing protein	https://www.orthodb.org/v10?query=1181at1913637
13551at1913637	Krr1-domain-containing protein	https://www.orthodb.org/v10?query=13551at1913637
2030at1913637	Phospholipid-transporting ATPase	https://www.orthodb.org/v10?query=2030at1913637
18972at1913637	Methylthioribulose-1-phosphate dehydratase	https://www.orthodb.org/v10?query=18972at1913637
30707at1913637	U4/U6.U5 small nuclear ribonucleoprotein	https://www.orthodb.org/v10?query=30707at1913637
7591at1913637	aspartyl-tRNA synthetase	https://www.orthodb.org/v10?query=7591at1913637
24579at1913637	Nuclear cap-binding protein subunit 2	https://www.orthodb.org/v10?query=24579at1913637
25381at1913637	Kinase binding protein CGI-121-domain-containing protein	https://www.orthodb.org/v10?query=25381at1913637
5039at1913637	glycyl-tRNA synthetase	https://www.orthodb.org/v10?query=5039at1913637
20637at1913637	Alpha/Beta hydrolase protein	https://www.orthodb.org/v10?query=20637at1913637
30426at1913637	cytochrome c oxidase, subunit VIb	https://www.orthodb.org/v10?query=30426at1913637
8520at1913637	Methylmalonate-semialdehyde dehydrogenase	https://www.orthodb.org/v10?query=8520at1913637
8138at1913637	SDA1-domain-containing protein	https://www.orthodb.org/v10?query=8138at1913637
25165at1913637	ribosomal protein S13	https://www.orthodb.org/v10?query=25165at1913637
11726at1913637	Mannose-6-phosphate isomerase	https://www.orthodb.org/v10?query=11726at1913637
20479at1913637	scavenger mRNA decapping enzyme	https://www.orthodb.org/v10?query=20479at1913637
3440at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=3440at1913637
8847at1913637	kaptin-like	https://www.orthodb.org/v10?query=8847at1913637
17151at1913637	Tryptophan synthase beta subunit-like PLP-dependent enzyme	https://www.orthodb.org/v10?query=17151at1913637
3993at1913637	carbamoyl-phosphate synthase L chain, ATP binding domain-domain-containing protein	https://www.orthodb.org/v10?query=3993at1913637
15313at1913637	PAXNEB-domain-containing protein	https://www.orthodb.org/v10?query=15313at1913637
30003at1913637	ubiquitin-like protein	https://www.orthodb.org/v10?query=30003at1913637
1891at1913637	ATP-dependent helicase, C-terminal	https://www.orthodb.org/v10?query=1891at1913637
4594at1913637	Glycoside hydrolase family 63 protein	https://www.orthodb.org/v10?query=4594at1913637
8167at1913637	P-loop containing nucleoside triphosphate hydrolase protein	https://www.orthodb.org/v10?query=8167at1913637
7317at1913637	Alpha/Beta hydrolase fold	https://www.orthodb.org/v10?query=7317at1913637
4372at1913637	DNA mismatch repair protein MutS, core	https://www.orthodb.org/v10?query=4372at1913637
23955at1913637	THO complex subunit 5	https://www.orthodb.org/v10?query=23955at1913637
2383at1913637	Autophagy-related protein 2	https://www.orthodb.org/v10?query=2383at1913637
20192at1913637	putative N6-adenosine-methyltransferase MT-A70	https://www.orthodb.org/v10?query=20192at1913637
